time (s),signal
0.0,0.160694
0.00048828125,0.604026
0.0009765625,0.918769
0.00146484375,1.153662
0.001953125,1.133198
0.00244140625,1.020947
0.0029296875,0.898109
0.00341796875,0.916224
0.00390625,0.927028
0.00439453125,0.966847
0.0048828125,1.015752
0.00537109375,0.933928
0.005859375,0.669674
0.00634765625,0.453484
0.0068359375,0.187899
0.00732421875,0.01254
0.0078125,0.243344
0.00830078125,0.647473
0.0087890625,0.695834
0.00927734375,0.96968
0.009765625,0.954073
0.01025390625,0.564795
0.0107421875,0.16517
0.01123046875,-0.321438
0.01171875,-0.428084
0.01220703125,-0.747356
0.0126953125,-0.70273
0.01318359375,-0.819893
0.013671875,-0.977338
0.01416015625,-1.239909
0.0146484375,-1.440994
0.01513671875,-1.748233
0.015625,-1.55202
0.01611328125,-1.256525
0.0166015625,-0.757305
0.01708984375,-0.506842
0.017578125,-0.163813
0.01806640625,0.196262
0.0185546875,0.161747
0.01904296875,0.210963
0.01953125,0.068979
0.02001953125,-0.088048
0.0205078125,0.053774
0.02099609375,0.306065
0.021484375,0.439421
0.02197265625,0.546805
0.0224609375,0.407379
0.02294921875,0.371065
0.0234375,0.017605
0.02392578125,0.326799
0.0244140625,0.60085
0.02490234375,1.005287
0.025390625,1.302204
0.02587890625,1.476778
0.0263671875,1.682326
0.02685546875,1.44794
0.02734375,0.979697
0.02783203125,0.683566
0.0283203125,0.496658
0.02880859375,0.429953
0.029296875,0.17935
0.02978515625,-0.145843
0.0302734375,-0.160261
0.03076171875,-0.456226
0.03125,-0.900307
0.03173828125,-1.179616
0.0322265625,-1.335697
0.03271484375,-1.334838
0.033203125,-0.73703
0.03369140625,-0.731509
0.0341796875,-0.353562
0.03466796875,-0.360388
0.03515625,-0.317068
0.03564453125,-0.62928
0.0361328125,-0.834267
0.03662109375,-0.834874
0.037109375,-0.637068
0.03759765625,-0.780075
0.0380859375,-0.787147
0.03857421875,-0.455334
0.0390625,-0.618122
0.03955078125,-0.536852
0.0400390625,-0.696394
0.04052734375,-0.431558
0.041015625,-0.125745
0.04150390625,0.468855
0.0419921875,0.657612
0.04248046875,1.191977
0.04296875,1.69207
0.04345703125,1.490918
0.0439453125,1.387061
0.04443359375,1.154833
0.044921875,0.956407
0.04541015625,0.995001
0.0458984375,0.894087
0.04638671875,0.904872
0.046875,0.640089
0.04736328125,0.607542
0.0478515625,0.105061
0.04833984375,-0.10649
0.048828125,-0.391111
0.04931640625,-0.409361
0.0498046875,-0.13792
0.05029296875,0.164504
0.05078125,0.338013
0.05126953125,0.232804
0.0517578125,-0.018989
0.05224609375,-0.239391
0.052734375,-0.527242
0.05322265625,-0.805579
0.0537109375,-0.743611
0.05419921875,-0.896221
0.0546875,-1.109254
0.05517578125,-1.070515
0.0556640625,-1.194722
0.05615234375,-1.436914
0.056640625,-1.766438
0.05712890625,-1.60789
0.0576171875,-1.122232
0.05810546875,-0.91459
0.05859375,-0.316556
0.05908203125,0.456536
0.0595703125,0.495311
0.06005859375,0.665968
0.060546875,0.626524
0.06103515625,0.317986
0.0615234375,0.541999
0.06201171875,0.553116
0.0625,0.541198
0.06298828125,0.697108
0.0634765625,0.680639
0.06396484375,0.668121
0.064453125,0.581009
0.06494140625,0.341577
0.0654296875,0.277005
0.06591796875,0.350746
0.06640625,0.716268
0.06689453125,0.931955
0.0673828125,1.185185
0.06787109375,1.242972
0.068359375,1.206144
0.06884765625,0.817162
0.0693359375,0.415743
0.06982421875,0.086313
0.0703125,-0.16759
0.07080078125,-0.251783
0.0712890625,-0.254328
